sensor_index,latitude,longitude,pressure,pm2_5_atm_a,pm2_5_atm_b,humidity_a,temperature_a,location_type,pm1_0_atm_a,pm1_0_atm_b,scattering_coefficient_a,scattering_coefficient_b
281604,-8.8695385,-97.054916,995,37.87,12.95,51,11,1,41.74,5.43,88.91,94.97
605770,67.8047375,2.537028,980,32.07,1.18,60,24,2,27.97,12.18,75.45,53.32
235482,-57.4142895,-153.801767,932,7.78,24.35,37,25,2,29.83,26.34,21.21,56.15
909469,6.301913,-41.479463,1044,38.73,24.06,35,12,2,5.24,20.78,83.1,64.6
937950,66.033955,80.724928,911,13.64,15.94,62,2,0,17.82,11.53,88.75,2.23
718354,-81.860843,-158.144782,919,28.47,19.98,31,8,0,13.29,5.18,94.42,17.08
819412,-58.8879235,138.747411,952,30.21,20.13,53,0,2,44.19,42.35,19.29,42.45
559431,11.7017905,91.366052,924,18.45,35.11,72,28,0,27.35,37.23,42.04,70.73
367400,-61.273097,135.238007,1002,32.09,3.94,35,26,0,29.6,0.82,52.91,38.77
122774,-74.8725995,175.300215,1014,1.6,27.98,65,36,2,5.09,16.94,95.46,72.96
504045,-6.601949,-58.348801,923,31.44,1.51,68,6,0,48.32,11.11,76.48,71.35
729466,-1.650496,-70.593409,1042,35.12,32.42,58,20,0,41.68,4.87,55.81,52.26
184324,-27.0588435,-168.081393,1043,25.71,10.14,78,2,2,0.19,27.35,28.2,63.34
188278,73.383916,-48.422873,1002,16.36,34.87,30,8,0,29.16,18.68,9.72,28.25
147858,25.6729835,86.830486,1013,13.57,10.72,44,8,0,48.8,25.25,49.02,3.07
360897,-18.6742985,136.000400,990,18.03,11.43,26,-9,0,28.02,5.84,4.86,55.89
770119,73.6674205,-52.297435,1040,39.97,37.36,32,25,1,45.94,38.46,57.43,25.05
317897,-18.3045785,92.934485,945,18.65,18.91,71,32,0,40.49,38.84,31.56,13.14
913626,3.6527105,-71.736103,982,23.37,22.49,48,40,1,40.18,21.89,24.8,15.01
774465,86.571549,-121.682090,976,15.56,36.21,67,17,1,17.74,44.69,30.92,4.19
846697,13.1713495,-111.859691,1025,34.89,4.11,63,44,0,23.22,8.05,61.73,43.12
646105,-0.2737825,9.588136,955,38.22,24.42,26,4,0,17.31,3.51,51.06,40.95
751053,65.1172315,3.703086,986,34.81,8.66,49,42,0,45.93,33.56,56.16,29.3
310579,-41.642812,113.065096,1039,39.3,22.08,77,44,2,4.45,31.56,18.84,9.01
838421,-17.6261925,78.937027,1047,39.94,8.1,57,34,1,22.7,41.19,61.24,58.63
544638,-9.7252075,-171.424044,980,22.72,29.44,62,30,2,16.5,1.24,39.82,31.91
50771,64.9371715,22.900356,1001,33.87,31.25,33,19,0,47.97,14.03,40.23,92.15
318974,16.357199,-49.574833,914,20.54,39.55,42,14,2,30.37,33.55,42.69,61.09
395051,83.0130885,-59.548225,1006,2.88,26.75,68,45,0,42.07,21.63,11.68,48.67
679281,34.170455,-19.480252,979,34.82,17.23,64,34,1,24.38,45.62,71.95,92.74
828580,-6.1789545,-94.624887,977,2.79,28.03,64,-1,1,19.87,18.14,73.8,52.11
546213,23.9100265,90.199849,937,25.43,16.44,20,12,1,14.58,41.13,31.12,27.61
529760,19.4628045,140.421818,966,2.41,34.92,68,46,2,36.62,22.73,94.65,32.41
742403,46.754927,-133.064406,994,24.59,23.64,43,50,2,8.44,14.33,26.56,78.75
187263,79.1707885,-159.712331,1048,38.53,5.35,65,20,0,11.13,42.99,40.29,40.03
619682,86.1707065,-44.630449,978,23.94,30.68,30,45,2,39.27,28.78,81.25,84.86
72762,27.7177755,23.281646,963,3.32,14.7,47,-2,1,9.62,9.82,18.61,44.29
632045,41.8070285,-38.582470,930,26.12,18.8,25,32,1,47.43,16.35,28.52,14.15
224059,9.174070,176.365276,1039,33.46,2.72,37,25,1,26.93,31.2,56.94,40.9
265778,-5.6260485,153.156780,989,7.85,28.84,52,13,2,48.19,41.61,5.66,75.33
694492,48.353468,155.485657,1017,15.42,22.31,38,-6,1,22.98,43.97,88.63,98.41
428361,-49.027521,165.100131,954,5.45,35.71,44,22,1,31.27,31.54,52.9,24.25
585102,-76.0433795,-4.074893,975,30.24,3.55,20,8,0,46.83,9.02,57.13,17.74
360098,34.4753965,-140.033955,938,25.16,11.52,48,18,0,33.71,49.25,22.18,97.62
543825,-20.2514765,-169.858787,906,10.92,28.76,28,35,1,28.26,26.8,43.61,9.45
330905,62.7250675,39.041931,1018,15.35,39.62,63,19,2,17.04,5.25,53.0,61.38
400663,-46.008772,126.067712,1012,17.59,7.74,38,24,0,30.18,15.14,91.23,12.46
681185,40.6915025,-27.480351,939,5.09,3.51,48,43,1,1.05,43.51,54.37,54.56
893892,83.304234,118.735849,924,7.2,36.51,20,33,2,30.37,15.63,86.99,54.98
548989,68.623449,107.114915,978,13.99,31.14,37,39,1,8.82,22.46,71.66,83.19
611292,-29.466133,-174.165309,986,7.6,23.39,51,39,0,45.47,41.13,28.66,44.11
255688,-53.320764,161.672477,979,4.33,30.97,70,13,0,30.67,21.48,12.92,21.3
586366,-11.369173,-79.281436,914,38.72,37.89,67,18,1,30.11,16.7,25.14,40.57
306302,34.6525575,102.230333,927,24.84,16.73,31,-1,0,18.21,45.96,1.45,96.63
806809,67.328276,176.797724,979,17.86,31.68,72,30,0,2.97,40.8,99.41,98.58
202242,74.361543,-104.361626,1049,28.67,18.17,41,9,0,2.26,36.61,47.38,93.07
421305,-41.771071,53.366143,998,39.63,27.74,28,10,0,39.83,4.59,5.71,80.64
336054,12.5967995,160.291985,1006,20.05,20.46,47,8,0,4.8,34.34,19.85,27.73
585894,-67.755601,13.333944,965,20.43,3.44,27,24,1,47.37,27.01,26.98,68.76
595883,-9.1030915,107.518279,959,15.83,14.22,39,44,2,9.64,8.65,28.22,79.89
608502,10.959376,139.067456,962,15.67,18.2,23,42,1,48.25,11.89,9.79,8.19
757646,-30.006525,43.671094,1020,12.27,20.14,58,18,1,45.46,15.49,74.75,18.22
728220,52.677910,-132.817692,1043,35.06,33.72,32,35,2,26.1,18.84,51.1,67.68
90882,-33.5749505,-126.709529,932,17.12,19.1,69,21,1,3.15,28.35,59.74,35.31
697954,-13.837043,142.967533,912,32.79,37.34,77,8,1,40.4,38.83,31.38,76.14
754484,37.601854,-141.075421,970,12.96,26.79,71,-7,0,32.12,38.76,60.34,22.88
748317,-21.364369,-166.354427,1016,5.36,36.37,71,-9,2,13.63,27.15,14.67,82.46
615502,20.8419885,-134.112001,1048,15.62,21.78,49,15,2,27.98,40.31,7.98,98.79
60946,10.470938,-83.596186,1014,0.31,39.39,67,49,2,18.18,43.25,88.92,79.13
5613,5.5737535,131.313835,942,23.13,15.02,63,37,0,27.42,7.67,73.86,26.34
403857,50.4725775,77.236162,1041,9.51,16.85,43,5,0,19.96,7.74,56.94,67.93
739024,-22.3694555,65.886495,1043,32.18,8.68,29,9,0,1.97,0.35,21.19,76.26
99550,-5.752420,124.109140,942,20.7,14.38,33,46,2,7.44,46.36,72.47,1.54
378614,-67.9025385,142.124090,902,6.82,32.16,78,-1,0,17.9,40.76,23.31,86.49
502693,-39.320694,-98.126988,903,20.18,35.62,56,-8,2,23.56,9.55,6.87,69.43
430047,-26.267820,-60.957633,947,13.71,36.08,64,45,1,16.33,39.7,60.02,39.23
234423,57.0535445,-4.776369,974,13.92,31.37,24,24,0,13.34,26.12,38.46,62.93
560852,67.0100915,18.341459,1050,33.29,35.72,68,42,0,41.34,16.46,67.9,67.49
828763,73.3864165,-101.546859,1033,6.49,21.66,66,48,2,8.06,28.78,52.77,62.18
506979,-17.4387385,48.466084,998,27.68,25.4,24,47,1,13.42,42.08,72.13,91.58
324297,-84.903942,-47.611596,906,3.86,3.79,55,13,1,42.83,19.32,19.68,92.13
806757,77.090137,130.962750,991,19.32,37.23,21,34,0,47.07,35.32,72.57,99.55
149929,43.163832,-75.936490,993,9.92,8.9,77,5,0,6.29,48.84,27.77,73.52
75432,-11.7582315,88.782842,931,4.71,3.84,32,18,2,10.49,41.83,4.93,91.01
547765,64.3075665,126.826392,905,18.83,27.9,41,26,1,15.96,30.67,20.32,87.94
228386,11.704932,165.722354,982,38.06,21.94,33,9,2,14.09,10.7,14.13,27.54
706157,9.4758775,2.141661,902,37.48,2.36,55,8,2,35.9,38.81,14.65,4.16
865676,76.315836,17.756005,942,26.74,6.6,66,-9,1,30.76,6.41,65.0,65.46
176420,48.876369,115.548407,941,39.38,11.8,21,27,1,47.53,10.71,1.64,73.92
874183,-73.2015825,51.520226,950,38.21,1.16,79,3,0,32.88,31.88,70.16,10.59
632606,71.0842815,-105.282226,936,8.46,35.03,75,6,1,34.95,14.87,81.4,97.98
206362,-83.539128,150.079873,921,19.47,18.84,68,49,2,26.23,37.15,70.42,70.99
501368,-24.9088595,161.547106,1016,21.62,31.91,72,-10,0,20.41,42.25,9.38,22.81
670246,10.314547,-171.988836,1037,30.59,17.85,62,-2,2,11.65,44.07,2.61,60.3
293467,35.109918,122.563481,1036,13.43,26.82,29,42,0,33.56,2.79,96.93,79.1
834235,75.5570835,-80.530096,924,9.65,13.45,59,2,1,17.97,6.89,26.99,96.7
90570,-70.1609505,-131.745838,995,22.04,11.7,75,-9,2,5.97,4.43,23.3,8.06
166484,11.7873345,175.517681,1040,4.75,22.47,72,14,2,43.99,17.02,62.71,20.75
86995,-75.821445,114.073057,957,38.5,37.65,38,16,1,12.01,14.11,33.57,73.65
533785,16.2246385,163.296612,1042,3.61,22.01,50,2,0,2.92,32.8,1.82,25.52
6540,-38.300910,159.620270,961,28.95,11.91,42,36,1,41.89,47.82,4.52,45.03
206175,84.143435,-155.715375,1039,0.46,9.9,22,41,0,23.66,5.51,80.42,4.74
174717,8.9018455,-95.975727,917,28.51,32.11,46,-7,2,49.38,47.24,70.15,93.85
11779,58.4289625,-62.940612,974,37.74,26.28,26,-9,0,38.86,7.25,66.9,36.99
372510,40.254371,14.961110,1019,26.83,12.89,65,10,0,0.32,25.14,37.71,90.02
424680,69.2409295,-125.746100,909,16.97,5.56,43,19,1,13.94,21.31,12.76,78.78
975893,59.056991,-110.236847,995,11.43,28.28,58,-9,0,42.49,37.66,79.15,74.01
545404,23.824236,90.320807,960,35.35,10.16,30,25,1,13.1,37.76,22.19,86.23
178116,-31.989476,-174.224552,919,37.12,11.67,29,19,2,27.71,15.96,86.01,63.09
700122,50.6665415,85.438985,974,37.17,3.13,42,49,2,31.15,48.52,36.42,11.69
542078,79.070995,-79.826737,938,23.26,13.13,29,1,0,40.5,19.45,12.4,27.6
539637,-78.7870665,-100.892466,1033,38.63,7.6,24,28,0,11.64,1.13,89.95,41.15
440578,35.320792,-13.363227,1008,1.67,38.07,22,28,0,27.18,17.53,14.82,73.47
276310,-44.167387,27.163894,947,25.48,35.44,46,31,1,36.71,18.03,37.77,17.21
498931,-89.5014065,94.730514,933,23.74,4.79,28,-3,1,11.58,13.18,35.76,45.72
625299,-33.7925225,-60.841700,963,30.06,18.55,72,21,2,42.77,33.9,17.2,38.25
803065,6.933526,13.783282,931,16.54,36.19,44,16,0,43.74,13.41,73.57,32.78
920377,-17.0399845,-46.765336,975,24.52,39.72,28,34,1,38.71,6.99,89.03,72.26
18997,-32.203354,-108.621427,931,21.19,25.81,64,17,0,14.93,43.71,71.23,41.4
449350,-35.5073925,-106.351308,946,13.59,36.12,28,11,2,19.68,9.65,54.83,73.53
553318,88.1479565,107.304647,917,31.42,20.91,37,6,0,11.23,22.62,81.08,39.27
25963,69.7531145,-49.113063,976,24.76,3.33,62,-5,1,20.69,25.16,67.12,52.62
355131,84.2229215,49.724477,901,11.93,34.08,64,28,1,28.09,9.24,12.72,40.69
274980,28.366733,-149.001576,944,37.54,37.42,37,5,1,31.24,36.32,62.8,43.06
352465,-48.4588865,115.722857,919,11.67,18.36,26,18,1,23.54,0.04,14.04,62.69
480199,-73.946598,112.071788,1017,34.18,0.26,20,-1,0,40.83,2.28,40.28,0.39
746901,-46.883010,119.050990,987,20.43,1.29,79,0,0,1.98,39.08,2.33,15.02
291421,83.212734,163.335246,1019,38.96,10.42,36,11,1,7.62,24.6,65.59,11.06
60151,57.691192,-125.224569,1020,36.27,30.38,59,-10,2,44.24,27.21,17.82,73.56
852776,46.8803665,-60.998979,962,37.08,19.54,39,17,2,45.16,39.45,7.7,57.18
89862,-17.159069,101.886982,908,21.04,4.74,59,3,0,48.15,18.78,12.98,63.76
839009,-67.191283,6.221528,927,21.09,4.03,27,-3,1,47.69,21.85,66.88,66.04
65381,-23.733580,43.785304,903,33.07,29.37,28,45,1,44.12,48.63,2.43,95.72
132,-18.6196145,-54.476989,1023,18.01,3.72,53,12,0,28.39,25.42,66.71,89.6
991983,16.3244825,139.326482,953,2.37,21.65,38,-9,1,44.14,6.95,54.88,61.75
186329,-87.999132,68.862955,1018,2.43,13.66,57,31,0,3.82,35.64,67.64,74.48
831378,-65.401607,-23.301357,1020,7.06,12.34,64,23,2,21.13,38.64,65.05,3.97
994011,-45.4729625,151.902380,997,13.88,5.3,41,23,1,28.78,38.29,1.79,48.73
169718,67.1853375,-108.602580,1012,16.06,39.35,72,17,2,24.74,32.97,75.03,63.05
966533,-25.625867,5.218698,988,15.67,6.51,26,19,0,10.78,22.73,65.92,41.75
777857,69.7401765,-40.265865,1019,29.52,23.28,42,1,2,26.77,42.44,38.16,69.4
180585,11.866971,-160.604853,976,0.04,34.0,20,17,0,27.69,7.25,67.9,42.94
855837,-62.4438005,161.468804,1012,29.76,22.96,34,33,0,13.5,6.77,74.77,32.86
751646,-19.4577995,-95.531533,1049,14.45,39.14,76,4,0,15.32,33.7,92.68,10.6
535427,-57.458462,170.593722,902,14.87,25.31,68,-8,2,5.14,23.96,53.53,96.29
351901,-30.136050,4.566992,942,19.12,1.03,57,-6,1,11.71,34.7,98.58,56.91
625074,-17.699897,-15.292594,915,1.41,12.72,43,15,1,46.65,49.09,65.16,92.56
644945,-17.9943845,-15.076297,917,0.94,27.68,69,20,2,42.39,36.83,78.14,78.67
904990,-57.845983,179.224792,996,15.94,26.0,36,27,1,44.42,37.24,46.37,59.65
19954,-12.141985,-104.481474,1027,10.44,30.41,56,31,2,23.28,0.57,27.02,52.98
492811,-17.373544,27.953656,965,11.11,19.5,64,33,2,14.25,2.48,99.75,80.56
569578,73.3326835,155.444036,1042,35.84,12.34,48,43,2,15.47,44.9,17.65,46.97
583834,8.740399,-86.954640,975,13.59,20.19,27,16,1,10.23,2.73,6.04,31.83
73938,-25.525674,28.814365,987,30.86,23.42,69,22,1,25.86,0.08,85.33,52.69
793160,-35.1339345,-108.488129,929,30.6,4.43,67,-4,1,38.09,49.07,58.91,39.92
303536,10.065242,44.653441,1038,32.72,36.43,70,25,0,25.96,2.48,30.73,70.19
497575,-66.2486305,0.972814,1032,38.69,19.42,46,33,2,18.08,5.54,7.16,93.84
103032,58.5405975,164.553074,973,35.06,12.77,23,41,0,32.43,5.66,48.67,66.53
920152,31.0600265,-37.951196,1015,34.29,2.29,73,32,2,48.58,24.73,52.42,44.09
47212,-19.0479685,30.783112,963,7.71,14.74,37,19,0,4.8,3.3,95.85,43.35
111002,13.2848925,57.310699,948,11.66,21.94,50,44,1,16.51,32.74,10.61,87.24
980414,-59.408640,104.516705,988,15.21,30.44,55,23,0,23.18,32.04,95.68,28.76
454775,40.234680,-65.041319,967,17.43,35.48,24,9,2,33.16,1.83,70.25,4.8
686922,-85.724098,58.932630,1012,28.71,38.81,50,25,1,3.55,28.5,2.26,57.17
962161,56.938504,-98.272030,955,25.01,9.59,56,37,1,12.65,29.57,85.87,90.67
930772,13.140136,-53.925147,989,6.83,2.5,55,-10,0,46.63,38.57,73.92,77.68
420981,-26.6293535,16.101257,936,14.86,37.24,69,18,2,34.96,0.64,44.06,35.81
784147,-50.4652345,68.338087,926,36.13,5.64,55,44,0,32.67,25.02,58.87,3.58
566609,-18.7139865,64.926602,943,29.78,24.98,60,31,0,33.38,47.53,32.11,0.59
894081,-11.5845475,86.356653,971,29.34,39.2,44,-9,0,37.86,1.37,0.73,33.51
464215,77.934387,163.233215,1009,18.3,19.22,58,42,2,43.84,25.78,35.51,84.2
278006,-5.839109,66.964398,943,0.86,15.03,80,49,0,40.78,38.36,97.33,37.08
226499,50.132336,155.752195,1029,9.46,2.58,62,8,0,8.51,30.73,74.91,54.73
570294,25.1296515,170.950318,1028,8.97,30.71,80,20,0,0.12,22.81,37.81,37.9
552828,46.751280,-162.135794,965,0.11,34.87,78,-6,0,45.43,48.74,7.11,89.85
554790,73.9986555,66.154043,1008,27.43,32.28,64,45,0,28.94,27.37,15.61,0.24
165800,70.899599,170.840401,909,32.15,25.59,79,18,1,15.55,44.99,33.97,88.44
338640,8.3659565,-20.452058,956,0.07,22.01,26,11,0,13.67,40.75,76.16,26.41
510682,71.3431715,21.301746,960,20.69,15.08,49,25,1,6.91,32.97,50.15,15.26
401611,12.053852,127.676325,984,12.48,21.9,72,-7,1,24.25,13.02,95.09,1.94
338532,48.463926,146.410655,1012,5.99,34.63,23,36,0,1.27,0.36,17.89,45.99
646878,11.0651625,77.660203,962,3.52,28.36,63,9,0,30.17,20.94,24.08,6.3
910033,41.0970515,140.186323,992,38.07,29.68,32,13,1,43.58,18.0,14.49,30.37
237307,86.379609,-136.043055,957,3.81,3.6,74,10,0,47.47,16.32,39.79,26.7
72655,-55.3440995,122.723882,924,6.22,21.2,74,11,2,16.23,32.07,5.31,91.81
89569,79.529173,42.874076,1029,37.72,19.83,46,30,2,7.86,42.85,19.5,9.29
576163,-7.4115655,-174.364005,954,29.32,32.36,44,0,2,39.35,5.99,63.04,90.74
685174,-62.266174,122.588717,918,0.59,27.75,67,14,1,35.53,39.77,19.36,20.55
103189,45.913518,-94.275144,1032,38.43,5.09,50,20,0,20.87,13.9,41.01,82.07
702081,83.967492,-9.914251,1000,9.51,38.64,37,38,1,44.06,27.44,91.21,31.13
567676,23.9638555,-92.396536,933,9.97,23.54,29,4,2,28.04,49.58,70.5,47.44
267576,4.436398,-102.190701,1027,30.08,26.7,74,27,0,44.51,14.01,37.79,81.08
798429,-43.6564895,118.562365,907,39.53,4.34,63,11,2,7.3,13.77,82.98,36.26
424031,-40.9155805,21.459139,923,39.65,2.68,59,14,0,29.07,4.64,0.95,14.59
915349,-80.4200385,22.834251,956,26.27,27.3,62,28,2,45.05,23.7,73.97,85.74
173866,43.4757795,55.017723,953,36.69,6.48,67,46,0,19.23,0.28,82.93,43.66
90242,-77.7448085,-29.116082,914,15.4,13.45,25,6,0,5.6,14.83,30.01,68.88
10105,-18.169933,-34.850571,1017,12.46,26.72,52,4,0,17.78,48.54,0.92,89.61
450513,-19.471764,166.216021,1013,7.99,32.92,52,36,0,29.58,24.16,88.51,29.2
959825,-50.8830025,-166.270680,919,25.45,20.96,25,0,0,40.16,32.35,49.24,38.27
639467,-4.6796495,-57.718053,966,38.62,37.11,27,48,0,46.89,6.26,69.08,18.41
404990,81.744776,59.736427,913,11.13,29.4,60,46,2,17.43,27.74,87.16,41.04
295977,70.451552,-48.295050,1008,2.05,21.93,39,35,0,31.68,31.75,22.36,20.81
363527,-74.6080315,-81.858709,1025,28.26,34.42,26,38,2,12.74,18.66,18.17,16.74
735391,55.456693,-33.943021,988,3.46,34.03,36,50,1,29.14,49.51,35.92,73.12
671624,-1.0884865,-85.397630,950,11.77,36.23,34,15,2,39.52,30.99,70.32,6.81
238105,74.7624885,129.109020,902,7.59,25.04,52,2,2,42.59,29.08,44.99,26.39
35550,-39.5326745,-31.529639,975,20.73,8.07,71,-10,1,42.84,41.94,10.39,31.62
569060,17.9551485,-132.388101,1050,20.4,39.74,51,48,1,32.27,26.77,24.62,99.17
378337,9.9943425,101.316763,936,0.11,37.01,70,4,2,25.05,13.53,84.43,8.26
466959,38.0964535,79.654743,962,10.71,28.13,41,-8,0,33.27,45.25,5.85,60.4
884284,26.1556265,53.246808,1035,4.74,36.56,34,7,2,39.55,42.36,55.38,81.05
259645,79.1889595,-52.349663,974,12.83,3.37,77,41,1,13.48,8.2,25.38,83.52
3267,-27.0387105,-11.902724,980,38.36,3.53,30,29,2,40.99,2.78,73.02,40.09
31031,-38.055441,-47.492129,942,7.27,9.23,70,42,0,33.9,33.72,1.37,63.15
255387,-87.8556505,177.489088,909,13.56,10.44,24,32,1,2.37,19.14,84.71,1.57
674005,88.275211,63.828763,928,13.96,8.88,37,11,2,39.18,6.86,23.67,56.19
92939,29.578565,-64.401859,1001,0.77,12.94,63,23,0,9.08,1.63,88.32,22.93
367491,-46.897803,120.228009,1015,11.98,19.51,51,-1,0,28.37,28.11,12.61,21.08
57981,27.658014,-104.623640,964,39.96,10.86,64,46,0,14.85,1.96,47.81,5.21
464053,-81.861801,-107.465235,1003,19.04,37.78,38,28,1,30.68,30.7,54.38,25.35
245223,17.2922655,13.627940,1031,1.33,24.29,67,50,0,21.58,20.63,98.53,64.49
157641,1.253335,-16.056810,933,27.82,27.16,65,33,1,31.06,23.82,8.27,23.9
459170,-27.596877,142.050324,1050,20.88,11.61,55,39,1,39.99,45.86,45.87,92.78
377554,7.6163595,81.074997,951,21.65,8.36,41,38,0,36.62,10.73,56.91,18.45
451029,78.6838255,51.054651,979,37.66,6.62,76,34,2,26.42,17.04,44.67,67.07
111315,-78.3774735,154.064275,972,28.54,32.45,65,3,0,48.02,33.86,26.4,30.07
458505,65.401280,-153.830197,926,15.81,27.33,29,44,0,26.29,3.45,20.05,48.98
981821,-25.335556,-35.473727,971,30.0,29.85,72,-7,2,25.69,21.45,3.9,32.17
194624,43.5300965,-22.526097,936,26.75,0.69,27,-4,1,16.79,10.9,46.54,75.22
90771,-70.0247195,169.706802,960,21.53,8.87,59,21,0,19.94,45.76,54.51,12.8
545280,-80.9477605,-175.661617,915,37.77,33.09,22,12,2,39.53,33.88,9.19,4.71
616050,-65.3612325,-163.470994,992,34.03,15.06,22,43,2,15.3,39.06,68.46,12.08
100655,40.0637515,6.756685,978,2.78,18.58,40,19,2,20.46,40.21,33.5,25.65
465516,55.345654,-18.922451,1009,31.89,13.87,37,-2,1,17.36,9.78,24.98,93.28
305620,53.1400585,10.066443,1030,16.37,8.83,72,26,2,3.57,37.01,86.49,7.06
296397,-71.650450,-174.067328,987,16.06,3.86,71,3,0,17.33,34.99,93.78,27.17
688680,-87.856278,-103.225044,940,9.78,18.34,53,-8,0,5.43,41.28,56.31,20.68
474331,-62.328956,44.619548,1009,11.51,15.7,79,20,1,27.09,48.75,72.51,90.62
643471,-76.1776415,-103.841800,1049,23.2,27.91,79,21,0,32.72,25.17,58.46,31.58
608931,82.515566,166.626070,917,28.42,6.89,65,25,2,45.22,11.62,40.26,20.66
731180,25.5457055,-63.770249,1038,29.84,34.15,30,-5,0,15.66,34.72,70.54,95.03
868607,51.0801315,91.511877,1038,14.57,32.18,47,0,2,37.75,19.0,51.44,17.24
33733,-70.9962295,140.670995,905,18.79,15.69,68,49,1,6.25,45.27,39.34,71.55
573180,-2.4367205,-98.902471,982,9.58,3.15,41,4,0,29.6,19.19,78.44,56.15
218674,5.8932595,-140.230445,1019,19.33,38.83,69,6,1,33.33,27.91,5.79,42.64
236340,-74.9229545,-116.246092,964,9.25,20.83,77,25,0,14.93,4.12,96.57,69.05
347798,5.4372215,-3.677474,968,39.21,39.94,45,29,2,35.06,4.79,96.95,68.83
8766,49.258139,-163.360011,913,19.79,36.42,52,28,2,46.92,29.65,22.3,9.93
927810,-8.6747175,-61.994857,961,28.06,39.48,74,23,0,45.23,4.54,78.19,96.65
255229,-5.599499,137.696949,1008,30.09,8.09,52,10,2,5.62,11.18,97.56,24.13
